Name,Issue Type,Priority,Rank,Status,Target Sprint,Build Number,Opened Date,Opened Time,Days old,Attachments,Assigned to,Progress Comments,Description,Duplicates?,Bug source,Associated features,Created by,Notification status,If complete,Closed,Notified users?,Status Time Changed,Date Completed,Minutes To Completion
Schema for Pitch,Content Fix,High,,Complete,,18,2019-11-13,11/13/2019 8:34am,269,,,,How do we get this entered with video so we can demo,,,,,⚠️ Need to notify,1,1,,12/5/2019 4:56pm,2019-12-06,32182
Schema for Ask,Content Fix,High,,Complete,,18,2019-11-13,11/13/2019 8:35am,269,,,,How do we get this entered (do after career plan and ask),,,,,⚠️ Need to notify,1,1,,12/5/2019 4:56pm,2019-12-06,32181
"Track Satisfaction Label doesn't ""disappear""",UI Fix,High,,Complete,,18,2019-11-13,11/13/2019 8:00am,269,,,,Makes it much slower to enter ,,,,,⚠️ Need to notify,1,1,,12/11/2019 6:00am,2019-12-11,40199
undefined% displays in place of ${negFeelingPercentage}%,Functional Bug,Critical,,Complete,,20,2019-11-18,11/18/2019 11:59am,264,,Adam Galper,,"In statement 5 and statement 7 of the Quick Fix Job Negotiation chat, undefined% displays in place of the percentage defined in the Global table named ""negFeelingPercentage""",,Testing the Job Negotiation Quick Fix chat,,Nicole Johnson,⚠️ Need to notify,1,1,,12/11/2019 5:52am,2019-12-11,32752
Challenge says not defined,Unsure,High,,Complete,,18,2019-11-13,11/13/2019 6:57am,269,,,,,,,,,⚠️ Need to notify,1,1,,1/3/2020 1:12pm,2020-01-03,73815
collections of accomplishments and shoutouts,New Feature,High,,Complete,,20,2019-11-14,11/14/2019 3:07pm,268,,Adam Galper,,The user can share a collection of accomplishments and shoutouts with a supporter for the supporter to review. ,,From Nicole and Giselle meeting notes doc. This is a feature that has been discussed in different instances across time. ,Supporters,Nicole Johnson,⚠️ Need to notify,1,1,,1/3/2020 1:17pm,2020-01-03,71889
"In Motivation, Goal not linked",Build Issue,Critical,,Complete,,25,2019-12-02,12/2/2019 11:23am,250,,Adam Galper,,"The Goal field displays in a Motivation entry, but the Goal field is not linked to Goal entries. Meaning that I can't select a Goal I've entered when I enter a Motivation. ",,,,Giselle Galper,⚠️ Need to notify,1,1,,1/3/2020 1:11pm,2020-01-03,46187
"Accomplishment that was saved (had a feeling) does not have a feeling field completed. Lost data?  ""Got pitch to sub 15 min"" ",Build Issue,High,,Complete,,18,2019-11-13,11/13/2019 7:30am,269,,,,,,,,,⚠️ Need to notify,1,1,,1/6/2020 12:23pm,2020-01-06,78053
Nora Denzel Video: State Your Aspirations chat shouldn't appear in library,Content Fix,High,,Complete,,20,2019-11-14,11/14/2019 6:23am,268,,Adam Galper,,"The Nora Denzel Video: State Your Aspirations is modeled as a chat so the video can queue into UpNext once the user has swiped through screen 26/37 in the chat Why Pitch and What Pitch Is. Unless we decide to make a topic ""Videos,"" then all videos could be organized into the Video topic. ",,,Content,Nicole Johnson,⚠️ Need to notify,1,1,,1/6/2020 2:45pm,2020-01-06,76822
"In Add Objective, Goal not linked (same as in Motivation)",Build Issue,Normal,,Complete,,25,2019-12-02,12/2/2019 11:26am,250,,,,,,,,,⚠️ Need to notify,1,1,,1/6/2020 12:25pm,2020-01-06,50459
Recents on career page not populating correctly,Functional Bug,Normal,,Complete,,29,2019-12-09,12/9/2019 1:23pm,243,,Adam Galper,,The cards in Recent on the Career page aren't populating correctly. ,,Testing the app,,Nicole Johnson,⚠️ Need to notify,1,1,,1/6/2020 12:29pm,2020-01-06,40266
Auto-refresh on the different pages,Functional Bug,Normal,,Complete,,29,2019-12-09,12/9/2019 1:42pm,243,,Adam Galper,,"When a new entry is created, we have to pull down own the page to refresh the page so the new entry displays. ",,Testing the app,,Nicole Johnson,⚠️ Need to notify,1,1,,1/6/2020 12:28pm,2020-01-06,40246
Motivation attributes display as details instead of required,Functional Bug,Critical,,Complete,,29,2019-12-09,12/9/2019 1:47pm,243,,Adam Galper,,All of the fields in the Motivation entry are listed under details. Name of Motivation and primary/secondary motivation selection should be required. All else is optional. ,,Testing the app,,Nicole Johnson,⚠️ Need to notify,1,1,,1/6/2020 2:37pm,2020-01-06,40370
First Challenge in Challenge section on homepage should not be black with pink,UI Fix,High,,Complete,,18,2019-11-13,11/13/2019 6:55am,269,,Adam Galper,,,,,,,⚠️ Need to notify,1,1,,1/10/2020 10:02am,2020-01-10,83706
Going back to the same location in a chat after exiting the chat,Build Issue,Critical,,Complete,,20,2019-11-15,11/14/2019 8:53pm,267,,Adam Galper,,Allowing the user to return to her same spot in a chat after viewing a link in a statement or after exiting the chat and returning. ,,Nicole and Giselle meeting notes 20191113,,Nicole Johnson,⚠️ Need to notify,1,1,,1/10/2020 9:32am,2020-01-10,81399
"In Motivation, for rank, not a numbers pull down, any text, should just be limited to #",UI Fix,High,,Complete,,25,2019-12-02,12/2/2019 11:24am,250,,Adam Galper,,Limit ranking to only numbers,,,,,⚠️ Need to notify,1,1,,1/10/2020 9:46am,2020-01-10,56061
Change the SatisfactionMatters chat name to MindsetOfSatisfaction,Content Fix,High,,Complete,,28,2019-12-05,12/5/2019 3:21pm,247,,Nicole Johnson,,"we changed the title of ""Why Satisfaction Matters"" to ""Mindset of Satisfaction."" I want to change the conversation name in the conversation table in Airtable to reflect this change. ",,,,Nicole Johnson,⚠️ Need to notify,1,1,,1/10/2020 9:43am,2020-01-10,51502
Challenge card on homepage crashes app,Build Issue,Critical,,Complete,,34,2020-01-03,1/3/2020 1:13pm,218,,Adam Galper,,"When I click on my challenge card from the homepage, the card opens to a blank page and takes all functionality of the app away (crashes the app)",,,,Nicole Johnson,⚠️ Need to notify,1,1,,1/9/2020 11:20pm,2020-01-10,9246
Objectives are listed in reverse order in the Inspiration view,Functional Bug,Critical,,Complete,,34,2020-01-03,1/3/2020 1:28pm,218,,Adam Galper,,"Objectives are listed in reverse rank order in the Inspiration view
Ex.
Rank 2
Rank 1",,,,Nicole Johnson,⚠️ Need to notify,1,1,,1/10/2020 9:32am,2020-01-10,9844
Turning off the sections in the career section.,New Feature,Normal,,Complete,,24,2019-11-25,11/25/2019 12:56pm,257,,Adam Galper,,"For the beta release, we want to be able to turn off sections and chats in the career and library sections so they don't display in the app. We still need to officially decide which chats and sections we want to display. ",,Discussed in a Nicole & Giselle meeting on 11/24/19,,Nicole Johnson,⚠️ Need to notify,1,1,,1/13/2020 1:38pm,2020-01-13,70601
"change the order of the attributes, so Description appears before Notes when adding an entry in the career section",Functional Bug,High,,Complete,,24,2019-12-02,12/2/2019 7:19am,250,,"Adam Galper,Nicole Johnson",,"For each entry type, we want Description to display before Notes. ",,Testing the app ,,Nicole Johnson,⚠️ Need to notify,1,1,,1/13/2020 12:23pm,2020-01-13,60783
"In Objective, rank not limited to numbers (same as motivation)",Build Issue,High,,Complete,,25,2019-12-02,12/2/2019 11:27am,250,,Adam Galper,,Limit ranking to only numbers,,,,,⚠️ Need to notify,1,1,,1/13/2020 12:23pm,2020-01-13,60536
Update schema of Take the Credit challenge card in UpNext on Homepage,Functional Bug,Critical,1,Complete,,25,2019-12-03,12/3/2019 2:44pm,249,,Adam Galper,,"DUPLICATE When I select Join on the Take Credit card in UpNext, the name of the action at the top says ""Add TakeCreditAction."" We want the name to be ""Join Take the Credit Challenge""

https://docs.google.com/spreadsheets/d/1x_d3qe_ptz3DQ6wGLDVqLbNjOz7FZ1_bauhkSXD8hbw/edit?usp=sharing",,Testing the app,,Nicole Johnson,⚠️ Need to notify,1,1,,1/13/2020 12:34pm,2020-01-13,58910
Lexicon changes,Content Fix,Critical,,Complete,,28,2019-12-05,12/5/2019 3:25pm,247,,Adam Galper,,"We discussed no longer using the term Paths, and only using Topics now with ordered and unordered topics

Update 1.6.2020: Change Paths to Series in Airtable and in the app. ",,,,Nicole Johnson,⚠️ Need to notify,1,1,,1/13/2020 8:37am,2020-01-13,55751
change order of schema for Accomplishment and Shoutout - move description,Content Fix,High,,Complete,,34,2019-12-23,12/23/2019 12:26pm,229,,Nicole Johnson,,"Description be in the first section, but optional",,,,,⚠️ Need to notify,1,1,,1/13/2020 12:43pm,2020-01-13,30256
Change the Inspiration section to be a tile with icons below,New Feature,Critical,1,Complete,,34,2020-01-09,1/9/2020 1:43pm,212,"IMG_8614.JPG (https://dl.airtable.com/.attachments/003cf40933cefe5f418ae043e14f0bba/55a5c7bd/IMG_8614.JPG),IMG_8608.JPG (https://dl.airtable.com/.attachments/b9d825984a6c3a988a5d5c5b9cea28c2/109e6b00/IMG_8608.JPG)",Adam Galper,,"Changing the Inspiration section on the homepage to reflect the changes we discussed in our meeting on 1.6.2020.

The main Inspiration card will be a dynamic tile. The tile has an icon for sharing and for locking or unlocking the tile. The text on the tile defaults to the takeaway from the most recent chat the user has consumed. 

The text on the tile for now can be: Showing up for your career. That's badass.  ",,Meeting on 1/6/2020,Home Page,Nicole Johnson,⚠️ Need to notify,1,1,,1/13/2020 8:36am,2020-01-13,5452
"Change the names of ""Library"" and ""Community"" on the homepage. Change Library icon",New Feature,Critical,,Complete,,35,2020-01-09,1/9/2020 1:56pm,212,,Adam Galper,,"Change Library to Essentials and Community to Feedback. 

Also change the Essentials icon on the Homepage to be a toolbox/briefcase icon. We will supply the icon. ",,Meeting on 1/6/2020,Home Page,Nicole Johnson,⚠️ Need to notify,1,1,,1/13/2020 8:37am,2020-01-13,5441
Adjust the Career section to reflect the changes we discussed 1/6/2020,New Feature,Critical,,Complete,,35,2020-01-09,1/9/2020 2:06pm,212,IMG_8612.JPG (https://dl.airtable.com/.attachments/71cad61bc758caad592a2f9b64bb6e64/6bf681ac/IMG_8612.JPG),Adam Galper,,"The only sections we want to display, in order, are:
Accomplishment
Shoutout
Satisfaction
Market Info
Pitch
Ask
Plan
Challenges
Collections
Activity Review
Career Moment
Work History
Education History

We will still use the carrot for sections that have subsections. ",,Meeting from 1/6/2020,,Nicole Johnson,⚠️ Need to notify,1,1,,1/13/2020 12:02pm,2020-01-13,5635
Adjust the Essentials (library) to reflect what we discussed 1/6/2020,New Feature,Critical,,Complete,,35,2020-01-09,1/9/2020 2:21pm,212,IMG_8619.JPG (https://dl.airtable.com/.attachments/198093dc22e39479e91e058e292acb8b/d8570bfb/IMG_8619.JPG),Adam Galper,,"The attached picture reflects the changes to the Essentials. The three tabs, in order, are now: Explore, Saved, Gear. 

In Explore, we have Series, Scripts, Guides, with a view all chats button at the bottom. 

In Saved, we have Playlist and Pinned.

In Gear, we will have vertical cards that display the different gear we have available. ",,Meeting on 1/6/2020,,Nicole Johnson,⚠️ Need to notify,1,1,,1/13/2020 12:21pm,2020-01-13,5640
Add a Metrics section to the homepage to replace the Challenge section,New Feature,Critical,,Complete,,35,2020-01-09,1/9/2020 2:30pm,212,Screen Shot 2020-01-09 at 2.33.03 PM.png (https://dl.airtable.com/.attachments/57ca675a80bf718d769d4e9653a5407f/eaa8639c/ScreenShot2020-01-09at2.33.03PM.png),Adam Galper,,"4 basic “metric” views for the home page.

The sections are Review Ready, Satisfaction, Market Savvy, and Your Challenges. Eventually we'd like to let the user change the order of how the cards display, but for now, the cards are all locked in the order listed above. 

The expectation is that the user will not see Playlist when she opens the app. She would have to scroll down. Each Metric would be the full width of her screen (like the tile in Inspiration), but it would be a carousel, albeit a large one. A new record in this table has been created for each of the 4 sections. ",,Slack messages on 1.8.2020 ,Home Page,Nicole Johnson,⚠️ Need to notify,1,1,,1/13/2020 12:22pm,2020-01-13,5632
Metrics Section: Review Ready,New Feature,Critical,,Complete,,35,2020-01-09,1/9/2020 2:40pm,212,Screen Shot 2020-01-09 at 2.33.22 PM.png (https://dl.airtable.com/.attachments/0e6b1f7f649b5ac1a4ac4356577d7d44/4ffc1328/ScreenShot2020-01-09at2.33.22PM.png),Adam Galper,,"Review Ready shows two horizontal bar charts.  We will need to have a way to modify the defaults 6 months (26 weeks) to review and 20 accomplishments. The text and numbers on the side will update according to her progress. The top bar is the chea blue (#0190B9) in news flash. The bottom bar is either the dark blue (#010348) in the UI colors with a yellow (#F6BF00) bar on the side; the other option is that green Adam that you used in the join for the challenge.

There is a button at the end of the 20 Accomplishments bar. The button says either Catch up now, Good to go, or Killing it depending on the number of accomplishments she has entered. We will provide more detailed rules if needed. For now the button can say Catch up now. ",,,Home Page,Nicole Johnson,⚠️ Need to notify,1,1,,1/13/2020 12:22pm,2020-01-13,5622
Metrics Section: Satisfaction at a glance,New Feature,Critical,,Complete,,35,2020-01-09,1/9/2020 2:46pm,212,"Screen Shot 2020-01-08 at 12.51.26 PM.png (https://dl.airtable.com/.attachments/90344c9892d75d82914e3ab333714199/972f7e4d/ScreenShot2020-01-08at12.51.26PM.png),Screen Shot 2020-01-09 at 2.37.04 PM.png (https://dl.airtable.com/.attachments/85a02c38b244500f2d2941c52d8e21b9/1eb1c705/ScreenShot2020-01-09at2.37.04PM.png),Screen Shot 2020-01-09 at 2.37.15 PM.png (https://dl.airtable.com/.attachments/66d6afbf7be1dc854d6ede043ebcdf98/bad4a81a/ScreenShot2020-01-09at2.37.15PM.png)",Adam Galper,,"Satisfaction is like a mint budget pie with labels that correspond to the filters available (type of work default; data, company name, job, client, etc…) and if you click on an particular pie section, then the box pops up with Type; #entries, average sore, % of total, and list view. This is exactly like Mint.

Colors to use for the different sections:
#010348
#0190B9
#F6BF00
#A91B60
#D3CCE3",,,Home Page,Nicole Johnson,⚠️ Need to notify,1,1,,1/13/2020 12:22pm,2020-01-13,5616
Metrics Section: Market Saavy,New Feature,Critical,,Complete,,35,2020-01-09,1/9/2020 2:53pm,212,Screen Shot 2020-01-09 at 2.37.23 PM.png (https://dl.airtable.com/.attachments/157bb52dc7b92332a5e7ed3936a60841/4bda2fba/ScreenShot2020-01-09at2.37.23PM.png),Adam Galper,,"Market Savvy is a set of blocks with faded large numbers 1 - 9 (as she enters market data of any type), the blocks numbers fill in. When she hits 9, she (later; not initially) receives something celebratory (like Just Works confetti) and then more cells are added. She chooses when to empty the chart, but we should remind her when she starts a new position.

The outline of the set of blocks will be black, the background will be white, and when the numbers are faded a light grey color. When the number is filled in because she entered a piece of info, we want hot pink (#E0098A)",,,Home Page,Nicole Johnson,⚠️ Need to notify,1,1,,1/13/2020 12:22pm,2020-01-13,5609
Metrics Section: Your Challenges,New Feature,Critical,,Complete,,35,2020-01-09,1/9/2020 2:58pm,212,Screen Shot 2020-01-09 at 2_37_31 PM.png (https://dl.airtable.com/.attachments/eb63eeaf1b2f36dc2dc435b23e68fe6a/99f2ff51/ScreenShot2020-01-09at2_37_31PM.png),Adam Galper,,"Your Challenges is VERY simplistic. There are 2 large numbers. They start at 0 and 0. Active and Completed. That’s it. And, she can click through to View All.

The large numbers are dark blue (#010348) and the Active and Completed are in black. ",,,Home Page,Nicole Johnson,⚠️ Need to notify,1,1,,1/13/2020 12:23pm,2020-01-13,5604
The Motivation entrySpec only contains the inputBlock Details. There is no Required inputBlock.,Functional Bug,High,,Complete,,35,2020-01-09,1/9/2020 3:09pm,212,"IMG_49BF620D3C8E-1.jpeg (https://dl.airtable.com/.attachments/25eaf93dd455ab0867548c6312d74a5b/5668d17e/IMG_49BF620D3C8E-1.jpeg),IMG_9D86AA8BA181-1.jpeg (https://dl.airtable.com/.attachments/79fe871794af90a6db5faef608c0684a/c7836da4/IMG_9D86AA8BA181-1.jpeg)",Adam Galper,,"The Motivation entrySpec only displays the inputBlockName Details. Unlike the other entrySpecs which have a Required inputBlockName and Details inputBlockName. 

The Name of Motivation attribute is now required, but it is in the Details inputBlockName.

I've attached of the Goal entrySpec to show the difference. The Goal entrySpec has both inputBlockNames.",,,,,⚠️ Need to notify,1,1,,1/13/2020 1:12pm,2020-01-13,5643
Add the TrackSatisfactionAction entrySpec to the Career section ,New Feature,High,,Complete,,35,2020-01-09,1/9/2020 3:37pm,212,,Adam Galper,,,,,,,⚠️ Need to notify,1,1,,1/13/2020 1:07pm,2020-01-13,5610
UpNext is Up Next on home page. Change to UpNext,Content Fix,Critical,1,Complete,,,2020-01-13,1/13/2020 8:04am,208,,Adam Galper,,,,,,,⚠️ Need to notify,1,1,,1/13/2020 2:12pm,2020-01-13,367
Career section plurals,UI Fix,Critical,1,Complete,,37,2020-01-13,1/13/2020 8:19am,208,,Adam Galper,,Let's go singular for Satisfaction and Market Info. The rest is fine. It's just awkward otherwise. Happy to discuss.,,,,,⚠️ Need to notify,1,1,,1/13/2020 2:14pm,2020-01-13,354
Review Ready Metric Card UI,UI Fix,Critical,1,Complete,,,2020-01-13,1/13/2020 8:52am,208,,Adam Galper,,"Change the green in bar to white or light grey, whichever you prefer. The green is too bright for rest of app. It's distracting. It's critical (unlike others b/c it's distracting)",,,,,⚠️ Need to notify,1,1,,1/13/2020 2:14pm,2020-01-13,321
half size the UpNext cards,New Feature,Critical,1,Complete,,,2020-01-13,1/13/2020 8:55am,208,,Adam Galper,,"delete the progress bar on the bottom of the UpNext cards, so the cards are smaller. ",,,,,⚠️ Need to notify,1,1,,1/13/2020 2:14pm,2020-01-13,319
the full Career section UX,UI Fix,Critical,3,Complete,,35,2020-01-10,1/10/2020 3:36pm,211,Screen Shot 2020-01-10 at 9.35.33 AM.png (https://dl.airtable.com/.attachments/4c1001fd4d469bd8f8e0f57dfd0eb572/7152bbc6/ScreenShot2020-01-10at9.35.33AM.png),Adam Galper,,"Add the Activity Review button following the UX in the attached picture. But rather than ""Take me to Activity Review"" change to just Activity Review.",,,UI,Nicole Johnson,⚠️ Need to notify,1,1,,1/13/2020 5:10pm,2020-01-14,4413
Satisfaction Metric Card UI,UI Fix,Critical,1,Complete,,37,2020-01-13,1/13/2020 8:14am,208,,Adam Galper,"See colors needed  in description
Those are the colors I used
Should I turn the gradient off?","Remove words high med and low and put # of entries there. Change colors to HIGH pink #A91B60, MEDIUM green (dull green used for the Join button on the Take the Credit card in UpNext), and LOW yellow #F6BF00",,,,,⚠️ Need to notify,1,1,,1/13/2020 4:59pm,2020-01-14,524
change cards in the UpNext section,New Feature,Critical,2,Complete,,37,2020-01-13,1/13/2020 8:58am,208,,Adam Galper,"Change the First Card in UpNext to say ""Take the Credit"" instead of Take Credit. 

Delete the Join button at the bottom of the card. ","the first card (Take Credit, Join the challenge) will remain, but change the text to: Take the Credit. subtitle is ""meet your challenge""
The second card will be for the chat StudentDebtWomenOne
The third card will be the for the script JobOfferPhoneScript
The fourth card will be for the guide JobOfferPhoneGuide
The fifth card will be for the chat PoliteDoubleEdgedSword",,,,,⚠️ Need to notify,1,1,,1/13/2020 5:06pm,2020-01-14,487
Metric Challenge card,UI Fix,Critical,1,Complete,,37,2020-01-13,1/13/2020 12:51pm,208,,Adam Galper,"text color change if time
that color is more black than blue","Change the numbers to be dark blue color #010348, and the other text (Active, Complete) in black ",,,,,⚠️ Need to notify,1,1,,1/13/2020 4:59pm,2020-01-14,247
move Job Offer Phone Guide and Script to be in the Script and Guide sections of the Essentials ,UI Fix,Critical,1,Complete,,,2020-01-13,1/13/2020 1:04pm,208,,Adam Galper,,,,,,,⚠️ Need to notify,1,1,,1/13/2020 5:05pm,2020-01-14,241
Only Primary Evidence sources are being pulled into the Evidence drawer,Functional Bug,Critical,1,Complete,,37,2020-01-13,1/13/2020 1:23pm,208,,Adam Galper,,"We would like for sources to be pulled into the drawer from all of the different source columns in the Statements table in Airtable. The column names are: 
Primary Evidence Sources
Secondary Evidence Sources
Contrary Evidence Sources
Opinion Sources, 
Example Sources
Product Sources 
Class Sources",,,,,⚠️ Need to notify,1,1,,1/13/2020 4:06pm,2020-01-14,162
"change the text format, as well as background color and text color of the Inspiration tile on the homepage",UI Fix,Critical,2,Complete,,37,2020-01-13,1/13/2020 1:42pm,208,Screen Shot 2020-01-11 at 2_23_15 PM.jpeg (https://dl.airtable.com/.attachments/f22eb78b7ba563f23202b802b05bf16e/9cd0b783/ScreenShot2020-01-11at2_23_15PM.jpeg),Adam Galper,"not in progress?
done -- did you refresh your browser?","For the Inspiration tile text that says ""Showing up for your career. That's badass."" we envision: 
Nunito Sans Bold font
White background
Black Text, with the exception of badass which we would like to be in chea hot pink #E0098A.
Text is aligned to the left, and it wraps around so there isn't a line break between the two sentences. 
If we need a border to differentiate the tile, then we'd like a black border. Do not center. Wrap as continued sentence. 


For the #cheaCareer, we would like it in Nunito Sans Regular black font. Aligned to the right, which requires the lock and share icon to be moved to the left side. ",,,,,⚠️ Need to notify,1,1,,1/13/2020 5:06pm,2020-01-14,204
Market Info schema,New Feature,Critical,2,Complete,,25,2019-12-05,12/4/2019 4:26pm,247,,Adam Galper,,Add the schema for Market Info. The schema is complete in the Career Schema spreadsheet.,,20191125 Nicole and Giselle PM Meeting,,,⚠️ Need to notify,1,1,,1/14/2020 8:12pm,2020-01-15,59266
change Add Action to Track Satisfaction,UI Fix,Critical,1,Complete,,,2020-01-13,1/13/2020 12:55pm,208,"Screen Shot 2020-01-13 at 5.02.49 PM.png (https://dl.airtable.com/.attachments/f70cf59ce7e6b56a90136b95c5b632d1/1db7433a/ScreenShot2020-01-13at5.02.49PM.png),Screen Shot 2020-01-13 at 5.04.04 PM.png (https://dl.airtable.com/.attachments/eec71c62e5aec3ecdcd21e640283cc53/e65b94cc/ScreenShot2020-01-13at5.04.04PM.png)",Adam Galper,Still saying Add Action and then also says Track Satisfaction Action ,Change the heading of the Track Satisfaction page from Add Action to Track Satisfaction. This is true for accessing track satisfaction from the Plus button on the homepage and in the career section. ,,,,,⚠️ Need to notify,1,1,,1/14/2020 8:06pm,2020-01-15,1871
Update the Satisfaction schema to reflect most recent ,UI Fix,Critical,1,Complete,,37,2020-01-13,1/13/2020 12:58pm,208,"IMG_5146.PNG (https://dl.airtable.com/.attachments/a588d021af06f397b88a8f19581d6d4f/0a5f355a/IMG_5146.PNG),IMG_5147.PNG (https://dl.airtable.com/.attachments/d1b3baa20decd0d219083b88d2d963e1/5627952b/IMG_5147.PNG)",Adam Galper,,The Satisfaction entry page when accessed from the menu in the Career section is in the old schema. Pictures are attached. Please update to new schema and change the heading to be Track Satisfaction instead of Add Satisfaction. ,,,,,⚠️ Need to notify,1,1,,1/14/2020 8:11pm,2020-01-15,1872
"Job Offer series, Are You in the Right Place chat isn't loading into app or web app",Build Issue,Critical,1,Complete,,40,2020-01-28,1/28/2020 3:21pm,193,,Adam Galper,,"The Are You in the Right Place chat isn't loading. When clicked, it kicks me back to Explore in the Essentials.",,,,Nicole Johnson,⚠️ Need to notify,1,1,,1/30/2020 4:57pm,2020-01-31,2976
the attribute QuickFix.careerValue isn't displaying in the statement JobOffer5Steps.careerValue ,Functional Bug,Critical,1,Complete,,40,2020-01-28,1/28/2020 3:43pm,193,,Adam Galper,,The attribute QuickFix.careerValue isn't displaying in the statement JobOffer5Steps.careerValue in the JobOffer5Steps chat. ,,,,,⚠️ Need to notify,1,1,,1/31/2020 4:57pm,2020-02-01,4394
the attribute QuickFix.tempted isn't displaying in the statement JobOffer5Steps.feelings,Functional Bug,Critical,1,Complete,,40,2020-01-29,1/29/2020 11:00am,192,,Adam Galper,,"the attribute QuickFix.tempted isn't displaying in the statement JobOffer5Steps.feelings. 

I checked to confirm the attribute name is not duplicated.",,,,Nicole Johnson,⚠️ Need to notify,1,1,,1/31/2020 4:57pm,2020-02-01,3237
the attribute QuickFix.compExpectation isn't displaying in the statement JobOfferMarket.lede,Functional Bug,Critical,1,Complete,,40,2020-01-29,1/29/2020 11:04am,192,,,,,,,,,⚠️ Need to notify,1,1,,1/31/2020 4:58pm,2020-02-01,3233
Error displayed for statement JobOfferMarket.onlineSources ,Functional Bug,Critical,1,Complete,,40,2020-01-29,1/29/2020 11:05am,192,,Adam Galper,,"The error ""No title, textBlock, or attribute defined in statement:"" appears on the screen. But the attribute QuickFix.onlineSources is associated with the statement JobOfferMarket.onlineSources",,,,Nicole Johnson,⚠️ Need to notify,1,1,,1/31/2020 4:58pm,2020-02-01,3232
