Name,Issue Type,Priority,Rank,Status,Opened Time,Days old,Attachments,Assigned to,Progress Comments,Description,Duplicates?,Bug source,Associated features,Created by,Date Completed,Minutes To Completion
"TAKEAWAY TILES: SMS sharing:  When I share a Tile from the homepage, the tile is sending an empty image with text. When I share a Tile from the takeaway tile landing page, an image and the text are sending. ",Functional Bug,Critical,6,In progress,7/14/2020 4:14pm,18,,,"7.22.2020 If we can get the external links to the website to work for sharing, then this goes away. We will instead generate canva tiles for all of the takeaway and we will make these all available. We will be sharing links, we won't be sharing images. 

Can't reproduce. What does ""an empty image with text"" mean? Is there text in the message or in the message? provide some images",,,,,,,
"LOGIC FOR CHECKING CONTENT: When the app comes into the foreground and every hour, check if new published content is available and reload",New Feature,Critical,8,Ready for Review (on dev),7/20/2020 5:03pm,11,,,,"- We discussed having a way for the app to check if new published content is available and reload
    - Performing this check when the app comes into the foreground, and every hour. 
",,,,,,
NOTIFICATIONS: Change Messages to Notifications in the title bar on the Notifications page,UI Fix,Critical,10,Ready for Push,7/27/2020 2:48pm,5,"Screen Shot 2020-07-27 at 2.48.00 PM.png (https://dl.airtable.com/.attachments/1e67696e59d24f6d921bd5cc9f0e7f2f/72a37f17/ScreenShot2020-07-27at2.48.00PM.png),Screen Shot 2020-07-27 at 2.49.23 PM.png (https://dl.airtable.com/.attachments/f045c3b07013c0347ba619dd393fccdc/7118987d/ScreenShot2020-07-27at2.49.23PM.png)",,,,,,,,,
"SHARE: On the Inspiration carousel, can we make the share icon a little larger?",UI Fix,Critical,10,Ready for Push,7/30/2020 3:09pm,2,,,,,,,,,,
"CONDITIONAL FORMATTING: Extend conditional formatting to support multioption attributes and ""null"". See description for example.",New Feature,High,1,Ready for Review (on dev),6/17/2020 6:02pm,44,,Nicole Johnson,"If she chose Friends OR Family AND current colleague OR past colleagues OR people from industry events OR alumnae contacts: ""Right on for including family and work in your network.""

==> {{#if (and (equalsOneOf ""key"" ""[ 'friends', 'family' ]"" )
												(equalsOneOf ""key"" ""[ 'current' 'past', 'people', 'alumnae' ]""))											
         }} This {{else}}That {{/if}}

If she chose Friends OR Family AND not current colleague OR past colleagues OR people from industry events OR alumnae contacts: ""Friends and family are amazing for building our networks."" 

==> {{#if (and (equalsOneOf ""key"" ""[ 'friends', 'family' ]"" )
                         (equalsNoneOf ""key"" ""[ 'current', 'past', 'people', 'alumnae' ]""))
         }} This {{else}}That {{/if}}

If current colleague OR past colleagues OR people from industry events OR alumnae contacts AND not Friends AND not family: ""Building our networks through work relationships is terrific.""

==> {{#if (and (equalsOneOf ""key"" ""[ 'current', 'past', 'people', 'alumnae' ]""))
                         (equalsNoneOf ""key"" ""[ 'friends', 'family' ]""))
         }} This {{else}}That {{/if}}
","Example of Multioption conditional
From Know Your Network, statements 9-11
STATEMENT 4
Think about your network. Who does your network include? (Choose all that apply)
[ ] Friends 
[ ] Current colleague
[ ] Past colleagues 
[ ] People met at industry events
[ ] Family
[ ] Alumnae/i contacts
[ ] Other

STATEMENT 5
For ALL: ""Networking is about building relationships in your personal life AND at work. There are no boundaries.""

If she chose Friends OR Family AND current colleague OR past colleagues OR people from industry events OR alumnae contacts: ""Right on for including family and work in your network.""

If she chose Friends OR Family AND not current colleague OR past colleagues OR people from industry events OR alumnae contacts: ""Friends and family are amazing for building our networks."" 

If current colleague OR past colleagues OR people from industry events OR alumnae contacts AND not Friends AND not family: ""Building our networks through work relationships is terrific.""

If not any: NOTHING

Example of Null Conditional
{{#if (equals ""QueenBee.knowAQueen"" ""no"")}}
That’s very lucky for you.
{{else}}
{{#if (equals ""QueenBee.knowAQueen"" ""notSureQueenBee"")}}
Queen Bees are women bullies who target women usually at a lower level, but even at their own level.
{{else}}
{{#if (equals ""QueenBee.knowAQueen"" ""null"")}}
That’s very lucky for you.    
{{else}}
{{/if}}
{{/if}}
{{/if}}",,,,,,
CHAT: Review the logic for the Why Ask At All chat,Functional Bug,High,1,,7/2/2020 7:24am,30,,Nicole Johnson,,Do I have the functions to execute the logic using @countresponses?,,,,,,
"When the last statement of a chat contains logic (enableIf), the last card of a chat appears blank.",Functional Bug,High,1,,7/8/2020 2:42pm,24,,Nicole Johnson,,"Save or spend
Career moment
Covid19 networking now
Mindset quiz
- Job offer followup",,,,,,
HOMEPAGE: A welcome message dialog to displays the first time a user comes into the app,New Feature,High,1,,7/9/2020 2:50pm,23,"image (7).png (https://dl.airtable.com/.attachments/d2ff9c98fd7ed331cc0fdbc7d2f119aa/4dafc839/image7.png),image (8).png (https://dl.airtable.com/.attachments/2650e122d594de8e7afe9e6968a900c9/16ef8686/image8.png)",,,Many of the Interactive Fiction apps start with a Welcome message. Should we have a welcome popup?,,,,,,
ELLIPSIS MENU ON CHAT CARDS: Enlarge the area of the ellipsis menu on chat cards so there is a bigger finger target,New Feature,High,2,In progress,7/8/2020 4:31pm,24,,,,"Move icon out of grid and make it flush top and right in a fixed size rect; then put grid for card contents below
",,,,,,
PITCH: Show the number of practices or deliveries associated with each Pitch on the card in the Entry List (Section List).,New Feature,High,2,,7/10/2020 9:31pm,21,"IMG_9205 (1).JPG (https://dl.airtable.com/.attachments/75497d21cf3282c9835742956c651c61/6b417404/IMG_92051.JPG),IMG_8824.JPG (https://dl.airtable.com/.attachments/b15f911a05f97de65b8c0cc4b7e5fd1a/94d47144/IMG_8824.JPG)",,,,,,,,,
COMPLETION CARD: The background of the Completion Card is short at the bottom of the screen,UI Fix,High,3,,5/18/2020 11:18pm,74,"Screen Shot 2020-05-18 at 9.46.56 AM.png (https://dl.airtable.com/.attachments/178d459925ca8d1e3e06f57b531f052b/0778cbeb/ScreenShot2020-05-18at9.46.56AM.png),Screen Shot 2020-05-18 at 11.10.04 PM.png (https://dl.airtable.com/.attachments/970db5f9616f1f570fdf2ed148e4f37b/923da074/ScreenShot2020-05-18at11.10.04PM.png)",Aaron Galper,,"6.9.2020 Wait to complete

We propose the background extend the full height of each phone screen.",,,,Nicole Johnson,,
UI FIX: Light/Dark mode- fixing all pages ,UI Fix,High,3,,6/9/2020 11:08am,53,,Aaron Galper,,"6.9.2020 Wait to complete
- Go over the screens very carefully. 
- Look at every screen: what do we need to change for certain screens?
    - document the changes we need to make, present them.",,,,Nicole Johnson,,
ADVANCED TOOLS: Advanced page: Add reload content into environment (dev or master),New Feature,High,4,In progress,3/6/2020 2:30pm,148,,Adam Galper,,Tool will trigger a webhook with the name of the Amplify environment (dev); webhook will invoke the airtable extraction and import scripts into the target environment. This will allow Nicole to edit and test more rapidly.,,,,,,
"CHAT FUNCTIONALITY: When in a statement that includes an attributeSpec, can we have a block of text that appears at the bottom of the screen when an option is selected/pressed on. ",New Feature,High,4,,3/19/2020 7:22am,135,Screen Shot 2020-03-13 at 3_27_16 PM.png (https://dl.airtable.com/.attachments/fe40a5b9e67dcd88ccb32ae6559b809f/5884871d/ScreenShot2020-03-13at3_27_16PM.png),,"Beta 2

Add an ifSelectedMessage field to the Option","See attachment of Vamsi's mock up. 
If possible, we'd like to have a way to display a block of text on a Statement screen that includes an attributeSpec. Giselle has written content that says: ""Press to see how each of your actions contributes to the Career Revolution.""",,,,Nicole Johnson,,
An Accomplishment Report View,New Feature,High,4,,4/8/2020 5:29pm,114,,,Beta 2,The Accomplishment Report View would include a view of different Accomplishments the user has selected. She could generate a report with all of the information about the Accomplishments she's entered so far. ,,"We discussed this late 2019/early 2020, but we didn't formally document the issue until April 2020.",,Nicole Johnson,,
"CAREER SECTION: in Edit Entry, when one block is opened, the other blocks all close. ",New Feature,High,4,,5/11/2020 1:03pm,82,,,Beta 2,"We propose only one block be open at a time in Edit Entry. So when she opens the Feelings block, the Basics and Details blocks automatically close. ",,,,Nicole Johnson,,
ENTRY VIEW HEADER GRID: Add all attributes in Basics of each Entry Type into the header grid of the Entry View.,New Feature,High,4,,5/18/2020 11:29pm,74,,,,"We propose that for each Entry Type with an Entry View (Accomplishment, Shoutout, Pitch, Ask, Goal) we add all of the attributes in the Basics block to the Header Grid of the Entry View.",,,,,,
HOMEPAGE: Explore changing the height and width of the Inspiration Takeaway Tile to match the height and width of the Takeaway Tile ,New Feature,High,4,,6/10/2020 11:16am,52,Screen Shot 2020-06-10 at 11.15.46 AM.png (https://dl.airtable.com/.attachments/4df9bb2c73f9adbf7eda693af5f5fb11/aef772c7/ScreenShot2020-06-10at11.15.46AM.png),,,Inspiration Takeaway Tile on the homepage is different than the tiles in the takeaway tile section. One thought is to change the Inspiration Takeaway Tile to the same height and width so it is also a square on the homepage. ,,,,,,
SHARING: Expand our sharing capabilities across different platforms over time,New Feature,High,4,,6/10/2020 12:05pm,52,,,,"See this sheet
We looked at other apps and stores to see how they handle sharing. Some app (airbnb) handles sharing from their app to many other ios apps and other social media apps. Other apps handle sharing via IOS to (sephora to slack, insta to slack) less thoroughly.
Priority for the platforms we want to share to:
- Messages #1 (done)
- Insta #2 (done)
- Slack #3
- copy link",,,,,,
"STATS: Should Stats chats be different for the user that is completing the chat for the 2nd, 3rd, nth time?",New Feature,High,4,,6/30/2020 11:24am,32,,,,,,,,,,
CAREER PLAN: cross reference add Career plan from introduce yourself into Career Plan topic?,New Feature,High,4,,6/30/2020 11:25am,32,,"Giselle Galper,Nicole Johnson",,,,,,,,
Greeting Tiles: Implement rule based Greeting Tiles that populate the Inspiration carousel on the homepage. ,New Feature,High,4,,7/2/2020 7:10am,30,,,,"Greeting Tiles would populate the inspiration carousel based on rules related to a users time in the app (anniversary, every week, etc) or a users activity (has 10 accomplishments entered, consumed 10 chats, tracked her satisfaction)

https://docs.google.com/document/d/1k_Fpj0T3aJ2WB9bhFpFDcnaK4Ntgy3YxGJTo9aEFKs4/edit#heading=h.f226soitwk8l

https://docs.google.com/document/d/1v-SRjqZt26_hSRw4itvBgfIIiIvFnrRFiPURaU4-DXU/edit?usp=sharing",,,,,,
QUICK ADD: Practice or Deliver Pitch/Ask quick add,New Feature,High,4,New,7/13/2020 1:19pm,19,,,Sorry -- Why should the user be sent to the View Entry page? Why create another exception to the logical flow?,"Purpose of this new feature: 
Currently when a user adds a new Pitch or Ask from the Quick Add, she can only add a Practice or Delivery Pitch/Ask by going to the corresponding Entry List in the Career section. We want the user to have a quick and easy way to add a Practice or Deliver Pitch/Ask following the add of a Pitch/Ask entry in Quick Add. 

Proposal: 
When coming from a Quick Add for Pitch or Ask, prompt the user with a dialog asking the user if she would like to add a Practice or Deliver. Once the user completes the Practice or Deliver entry, return the user to where she started the Quick Add. ",,,,,,
HOMEPAGE: Change the progress bar on Chat cards to being a circle or something that doesn’t have a percentage so there is more room on the card.,UI Fix,High,5,,3/9/2020 1:36pm,145,,Adam Galper,,"3/16/2020 We don't have a mock up from Vamsi for this, but we discussed removing the progress bar in Chats to Complete to make room for adding the Series title. We weren't sure if the series title and progress indicator would all fit onto one card, but a progress circle is an idea we discussed.",,,,Nicole Johnson,,
ESSENTIALS: New changes to the Reflect section of Essentials,UI Fix,High,5,,4/17/2020 3:15pm,106,,,4.17.2020 We will discuss again when we are ready to implement,See this link for visual of what we propose: https://docs.google.com/document/d/19wfDbXomB3l7TpaoPozHjfQx-xNbBBxjYSpc5idIVD0/edit?usp=sharing,,,,Nicole Johnson,,
"UI SCRUB: Remove the ""Updated x hours ago"" message from all places in the app. Instead use the date the entry is created. ",UI Fix,High,5,In progress,4/17/2020 3:19pm,106,,Aaron Galper,"I don't remember discussing this. I thought we just wanted to remove ""Updated X hrs ago"" from the collection cards.",,,,,,,
"UI SCRUB: Add the date an entry is created in place of where ""Updated x hours ago"" message was",UI Fix,High,5,,4/18/2020 3:28pm,105,,Aaron Galper,"I don't remember discussing this. I thought we just wanted to remove ""Updated X hrs ago"" from the collection cards.",,,,,,,
HOMEPAGE: Add Series title to Chat cards. See description. ,New Feature,High,6,,3/6/2020 3:22pm,148,,Adam Galper,,"3/16/2020 We don't have a mock up from Vamsi for this, but we discussed removing the progress bar in In Progress to make room for adding the Series title. We weren't sure if the series title and progress indicator would all fit onto one card, but a progress circle is an idea we discussed. See issue below for info on the progress bar. ",,,,,,
A notification to the user that she needs to have a Goal before entering a Motivation or Objective,Content Fix,High,6,,4/8/2020 5:22pm,114,,"Nicole Johnson,Giselle Galper",,"Right now a user can try to enter a motivation or objective without a goal, but the goal is a required field for objective. It is an optional field for motivation, but a goal is required if she wants her motivation to display in her Career Plan. ",,,,,,
CAREER SECTION: Satisfaction counter not populating accurately. ,Functional Bug,High,6,,5/4/2020 3:14pm,89,,,,"Giselle's counter wasn't counting the number of Satisfaction entries she has correctly. Meaning the number in the pink circle only indicated 1 entry, when Giselle had 3.  NJ to follow up on this and check if it is still occurring",,testing app,,Nicole Johnson,,
"When she edits an already saved entry, the Submit button should already be lit up/not greyed out because all of the required fields are entered",Functional Bug,High,6,,5/18/2020 10:19am,75,,,5.18.2020 The button stays greyed out if you make no changes to an already submitted entry b/c there are no new changes to save. The button lights up if you make a change to the one of the fields in the Edit Entry. ,,,,,,,
"STATS: Market Savvy Stats settings and card: archiving cards, what happens after all 9 boxes are complete.",New Feature,High,6,,6/5/2020 6:41pm,56,"IMG_9037.JPG (https://dl.airtable.com/.attachments/511afa3ac39f8de5c30a025b6dba7560/ce30d2aa/IMG_9037.JPG),IMG_9036.JPG (https://dl.airtable.com/.attachments/3925b011c2e62b496986d147e4ce7dbd/ed4d4f0a/IMG_9036.JPG)",,,"6.4.2020
- Beta2 Functionality: There should be a message that appears when she completes all 9 market infos that tells her Market Savvy Complete or something of that nature. And let's her know a new card is starting. ",,,,,,
Hamburger Menu: Give us feedback button,New Feature,High,7,,11/14/2019 2:54pm,261,,"Adam Galper,Nicole Johnson",,We would like to have a way for the user to easily give us feedback. Nicole and Giselle discussed a give us feedback button as an option,,Discussed in a meeting between Nicole and Giselle on 20190903,,Nicole Johnson,,
Hamburger Menu: Graphics to show how to add entries,New Feature,High,7,,11/14/2019 8:34pm,260,,"Adam Galper,Giselle Galper,Nicole Johnson",,Graphics at the end of conversations that show the user how to add an entry to the career section. Right now this includes how to add an accomplishment or shoutout and how to add a pitch.,,From the backlog,,Nicole Johnson,,
MULTIOPTION combo box,New Feature,High,8,,11/14/2019 8:11pm,260,,Adam Galper,,"Example Question:
Choose three verbs that are typical for you in your current job (or hoped for next job).

We list 8 options, and ask the user to select 3 verbs, but we also want her to have the option to add her own verb or verbs.",,AttributeSpec Pitch.actionVerb,Content,Nicole Johnson,,
COLLECTIONS: Filter for creating collections,New Feature,High,8,,1/3/2020 1:23pm,211,,Adam Galper,,"A filtering feature for creating collections in the editing view. Filtering options: date range, company, job title, project, client.  Would this be a filter that applied to all views?",,,,Nicole Johnson,,
Function: to count up the responses to a MULTIOPTION attribute,New Feature,High,8,,3/2/2020 3:01pm,152,,Adam Galper,,"Example Statement: Chances are you are incredibly busy outside of your regular job. 

Do any of these describe you? Check all that apply.

Being social, doing a hobby, or volunteering
Taking care of someone else
Staying or getting healthy and fit
Volunteering
Taking classes or working a side gig
Working a side gig
Doing a hobby
Other  Free Response

Responses: R: more than 2 “Scratch that. You are insanely busy. Great that you are making time to show up for your career. That’s more than most people for sure.”
R: 1 or 2: “Good for you for making time to show up for your career. You are already doing more than most people.” 
Skip: Maybe we got that wrong. Insanely busy? NP “Good for you for making time to show up for your career. You are already doing more than most people.” 

Source: https://docs.google.com/document/d/1eQoiv1QHcZv8IWqCdHAMSKHKSntv3LkzT6NdD31unoA/edit?usp=sharing",,Writing content we realized this would be a helpful function to have.,Content,Nicole Johnson,,
SATISFACTION STATS: A filter for filtering entries by type of work,New Feature,High,8,,6/1/2020 2:10pm,61,,,,"Similar to the filter functionality we propose for Collections. We have to figure out how that works. Would the filter happen in the Satisfaction Stats view, in Career, or in both?",,Slack message with Giselle on 5/29/2020,,Nicole Johnson,,
CAREER SECTION: Filtering functionality for sorting/viewing entries in the career section,New Feature,High,9,,11/25/2019 12:35pm,250,,Adam Galper,,"Basic filter capabilities so the user can filter different entries based on time, job title, or company name. ",,Meeting on 11/24/19 with Giselle,,Nicole Johnson,,
Add attachments to Accomplishment and Shoutout entries.,New Feature,High,9,,12/23/2019 12:32pm,222,,Adam Galper,,We would like for her to be able to add attachments to an Accomplishment or Shoutout entry. Attachments include: screen shots and/or saved files of email or slack positive statements.,,Slack sent from Giselle to AdamG/Nicole group on 12/21,,Nicole Johnson,,
ALL OF APP: Add the Apple convention of Big text that moves up into the header when the page is scrolled. See Apple notes or Apple messages. ,New Feature,High,9,,5/28/2020 6:19pm,64,,,,"We could do this throughout the app. So the Career section would have Career in big text about Recents, and then when the user scrolls the page and the big Career heading is no longer visible on the page, the Career heading moves into the title bar. 	",,,,Nicole Johnson,,
Ranking feature for within attributes,New Feature,High,10,,3/2/2020 3:07pm,152,,,,A feature for ranking options in an attributeSpec. Example: Rank this list in priority from highest to lowest for what matters most to you. ,,,Content,Nicole Johnson,,
Satisfaction collection notices,New Feature,High,11,,11/14/2019 3:01pm,261,,"Nicole Johnson,Giselle Galper",,"See this link: https://docs.google.com/a/cheaseed.com/document/d/1SpkNUvMBuVJOFNKKQeaPT-ZArJpFkDSOx86k5YBopjs/edit?disco=AAAADwW-MdU

User entered satisfaction, so what notices does she get? 
20 responses for each type of 6 situations maybe. 
For prototype identify the 6 situations, and 1 message each. 
Read them independently, and then decide what the rules could be. 
If a human had to do it, what would a human do?
Fewest rules possible. 
10 rules at the most
Develop a methodology of rules. ",,Meeting between Giselle and Nicole on 20190919,,Nicole Johnson,,
Attaching guides and being able to open them in an entry,New Feature,High,13,,1/10/2020 4:08pm,203,,Nicole Johnson,,"When she is adding an entry in the career section, either from the career section or from another place in the app, we'd like to be able to have a guide attached(embedded?) into the entry, so if she needs a reminder or information, she can click on a ? or a little icon and get a pop-up guide or some tidbit of information. ",,,,Nicole Johnson,,
Tie the Accomplishment Entry and Satisfaction entry together by adding the same Type of Work segment buttons to the Details of an Accomplishment entry,New Feature,High,13,,3/19/2020 7:17am,135,,,,We'd like to have the Accomplishment and Satisfaction entry tied together in some way. One idea is to have the same 8 type of work segment buttons in the Details of the Accomplishment entry. ,,,,,,
Activity Review Complete cards are not in place yet,New Feature,High,14,,1/13/2020 5:07pm,200,,,,"Activity Review Complete cards. We never got that far. It's supposed to generate an in process group for her to finish, but it just stops there.",,,,,,
Activity review just goes away (in process) when leave screen.,New Feature,High,14,,1/16/2020 3:12pm,198,,,,"In the Activity Review, when a card is added to the In Process section from the Add Activity page, the card doesn't remain in In Process if I exit from the Activity Review section to go to another section. ",,,,,,
PINNED: Pin gear to Pinned section,New Feature,High,15,,2/5/2020 5:51am,178,,,,,,,,,,
DRAWER: Do we want to change how the evidence and sources are presented? ,New Feature,High,20,,3/23/2020 3:55pm,131,,,"4.14.2020 We can remove the bounce of the drawer, so there are more than 3 states

3.23.2020 three states: fully closed, partially open, fully open.

If we get to define the partially open/mid state, then only leave it open enough to see the first heading.","4.13.2020 We discussed eliminating the use of the drawer, and adding the sources as a textBlock beneath the Statement. We tossed around the idea of using a different background color for the sources to differentiate the two. 

NJ concerns are: what changes to the system do we have to make to make the transition? The way sources are currently organized and linked to statements in Airtable is convenient, would we have to make changes?
-----------------------------------------------------------
Original Issue 3.23.2020: Keep the evidence drawer peek-a-boo open so that it’s obvious the drawer is there

The drawer is currently set up so that if I close the drawer all the way on screen 2/15, the drawer remains closed on all future screens. 

We propose that if the user closes the drawer on screen 2/15, and swipes to screen 3/15, that the drawer re-open so it is obvious to that there is more in the drawer for screen 3/15.

We did not determine if the drawer should remain closed if she reaches the end of the chat and chooses to swipe backwards. I propose that if she swipes backwards in a chat to go to a previous statement, and she closed the drawer on the statement, then the drawer remains closed. Similarly, if she leaves it open on a statement, then we leave the drawer open when she swipes back to that statement.",,,,,,
"HOMEPAGE: Generate landing pages for other Quotes, Community, Feedback on home page  ",Content Fix,High,21,,1/13/2020 8:07am,201,,,,"(Favorite Accomplishments and Shoutouts, Takeaways, Quotes (similar to Takeways), and Community Feed (that's the waves) and this is Ally notices. Need to decide whether we also have community ""feed""

In the takeaway landing page, the Takeaways populate a list of vertical tiles that are shareable.",,,,,,
"HOMEPAGE: In community feed in Inspiration section, have a landing page for survey or quiz results",New Feature,High,21,,2/10/2020 12:34pm,173,,,,,,,,,,
Dynamic survey results that update automatically based on user responses,New Feature,High,21,,3/2/2020 5:25am,152,,,6.9.2020 We want to start this in Beta 2. This issue is complex because we need a data explorer. See meeting notes. ,,,,,,,
Recent History section,New Feature,High,22,,2/10/2020 5:44pm,172,,,,Add a Recent History section to the homepage. This section will be populated with all recent chats or other recently visited pages within the app. ,,,,Nicole Johnson,,
Including celebration sounds in the app (beta 2 or beta 3?),New Feature,High,22,,3/23/2020 3:36pm,131,,,3.23.2020 Giselle says before feedback. But probably beta 2 or 3,In the Welcome chat (https://docs.google.com/document/d/1OMb7u2dleGr5r1bN4uGvZOvzMzxij2SRE6vA0wvOgL0/edit) we introduce 4 sounds the user can select from as their congratulatory sound. Is this possible for Beta 1?,,,,Nicole Johnson,,
Schema for Challenge,New Feature,High,30,In progress,11/13/2019 8:38am,262,,Adam Galper,"GSG comments: Do we need to provide more clarification here? I was thinking that group was secondary, but we might need it for enterprise. ","Need to modify commitment schema. we discussed. Challenge schema is in the Career Schema spreadsheet 

https://docs.google.com/spreadsheets/d/1x_d3qe_ptz3DQ6wGLDVqLbNjOz7FZ1_bauhkSXD8hbw/edit?usp=sharing",,,,,,
Achievements,New Feature,High,30,,1/13/2020 5:49pm,200,,"Adam Galper,Nicole Johnson,Giselle Galper",,Need to discuss this,,,,Giselle Galper,,
Gamification ,New Feature,High,30,,1/13/2020 5:50pm,200,,"Adam Galper,Nicole Johnson,Giselle Galper",,We have provided rules. Will find. 50 points any action. 2x with supporter/ally. 3x timely.,,,,Giselle Galper,,
CAREER: Examples in the career section when a user comes in first time,New Feature,High,40,,6/26/2020 2:34pm,36,,,,"The examples would be read-only. The examples would only display the first time she comes in the app. 

Link to examples: https://docs.google.com/document/d/1awq5CjxNlwQ-YTmGvOwgbovxU5QdrOF1myleo18y1Oo/edit?usp=sharing",,,,,,
HOMEPAGE: Change Essentials to Chats; Change Feedback to Store,New Feature,High,40,,6/26/2020 2:34pm,36,Screen Shot 2020-06-25 at 11.08.43 AM.png (https://dl.airtable.com/.attachments/bb41b1254f3da7f59c45f6455a98b44f/9f01d601/ScreenShot2020-06-25at11.08.43AM.png),,,"We will move Feedback into Career after Beta 1. The details of how we will structure Career to fit Feedback tbd. 
- One idea is to have the segment button header as we do in Chats.",,,,,,
